FIPS	Admin2	Province_State	Country_Region	Last_Update	Lat	Long_	Confirmed	Deaths	Recovered	Active	Combined_Key	Incidence_Rate	Case-Fatality_Ratio
45001	Abbeville	South Carolina	US	7/8/2020 5:33	34.22333378	-82.46170658	134	1	0	133	"Abbeville, South Carolina, US"	546.3366902	0.746268657
22001	Acadia	Louisiana	US	7/8/2020 5:33	30.2950649	-92.41419698	1068	43	0	1025	"Acadia, Louisiana, US"	1721.331292	4.026217228
51001	Accomack	Virginia	US	7/8/2020 5:33	37.76707161	-75.63234615	1042	14	0	1028	"Accomack, Virginia, US"	3224.408962	1.343570058
16001	Ada	Idaho	US	7/8/2020 5:33	43.4526575	-116.2415516	3252	23	0	3229	"Ada, Idaho, US"	675.2673972	0.707257073
19001	Adair	Iowa	US	7/8/2020 5:33	41.33075609	-94.47105874	16	0	0	16	"Adair, Iowa, US"	223.7136465	0
21001	Adair	Kentucky	US	7/8/2020 5:33	37.10459774	-85.28129668	130	19	0	111	"Adair, Kentucky, US"	677.0128112	14.61538462
29001	Adair	Missouri	US	7/8/2020 5:33	40.19058551	-92.60078167	95	0	0	95	"Adair, Missouri, US"	374.8569625	0
40001	Adair	Oklahoma	US	7/8/2020 5:33	35.88494195	-94.65859267	129	4	0	125	"Adair, Oklahoma, US"	581.2381725	3.100775194
8001	Adams	Colorado	US	7/8/2020 5:33	39.87432092	-104.3362578	4478	156	0	4322	"Adams, Colorado, US"	865.4461261	3.483698079
16003	Adams	Idaho	US	7/8/2020 5:33	44.89333571	-116.4545247	12	0	0	12	"Adams, Idaho, US"	279.4597112	0
17001	Adams	Illinois	US	7/8/2020 5:33	39.98815591	-91.18786813	134	1	0	133	"Adams, Illinois, US"	204.7833728	0.746268657
18001	Adams	Indiana	US	7/8/2020 5:33	40.7457653	-84.93671406	50	1	0	49	"Adams, Indiana, US"	139.7545909	2
19003	Adams	Iowa	US	7/8/2020 5:33	41.02903567	-94.69932645	8	0	0	8	"Adams, Iowa, US"	222.098834	0
28001	Adams	Mississippi	US	7/8/2020 5:33	31.47669768	-91.35326037	315	18	0	297	"Adams, Mississippi, US"	1026.29264	5.714285714
31001	Adams	Nebraska	US	7/8/2020 5:33	40.5244942	-98.50117804	302	11	0	291	"Adams, Nebraska, US"	962.9180882	3.642384106
39001	Adams	Ohio	US	7/8/2020 5:33	38.84541072	-83.4718964	24	1	0	23	"Adams, Ohio, US"	86.64885551	4.166666667
42001	Adams	Pennsylvania	US	7/8/2020 5:33	39.87140411	-77.21610347	358	13	0	345	"Adams, Pennsylvania, US"	347.5424477	3.631284916
53001	Adams	Washington	US	7/8/2020 5:33	46.98299757	-118.5601734	203	0	0	203	"Adams, Washington, US"	1015.863484	0
55001	Adams	Wisconsin	US	7/8/2020 5:33	43.96974651	-89.76782777	33	2	0	31	"Adams, Wisconsin, US"	163.2047478	6.060606061
50001	Addison	Vermont	US	7/8/2020 5:33	44.03217337	-73.14130877	68	2	0	66	"Addison, Vermont, US"	184.8981701	2.941176471
45003	Aiken	South Carolina	US	7/8/2020 5:33	33.54338026	-81.63645384	530	11	0	519	"Aiken, South Carolina, US"	310.1736973	2.075471698
27001	Aitkin	Minnesota	US	7/8/2020 5:33	46.60962049	-93.4116826	15	0	0	15	"Aitkin, Minnesota, US"	94.42276218	0
12001	Alachua	Florida	US	7/8/2020 5:33	29.67866525	-82.35928158	1701	12	0	1689	"Alachua, Florida, US"	632.2409429	0.705467372
37001	Alamance	North Carolina	US	7/8/2020 5:33	36.0434701	-79.39976137	1320	37	0	1283	"Alamance, North Carolina, US"	778.719714	2.803030303
6001	Alameda	California	US	7/8/2020 5:33	37.64629437	-121.8929271	6925	140	0	6785	"Alameda, California, US"	414.3409227	2.02166065
8003	Alamosa	Colorado	US	7/8/2020 5:33	37.57250606	-105.7885451	202	5	0	197	"Alamosa, Colorado, US"	1244.378735	2.475247525
36001	Albany	New York	US	7/8/2020 5:33	42.60060306	-73.97723916	2164	121	0	2043	"Albany, New York, US"	708.3330606	5.591497227
56001	Albany	Wyoming	US	7/8/2020 5:33	41.65498705	-105.7235415	43	0	0	43	"Albany, Wyoming, US"	110.5967078	0
51003	Albemarle	Virginia	US	7/8/2020 5:33	38.02080697	-78.55481085	472	10	0	462	"Albemarle, Virginia, US"	431.7204793	2.118644068
26001	Alcona	Michigan	US	7/8/2020 5:33	44.6846864	-83.59507875	22	1	0	21	"Alcona, Michigan, US"	211.4368092	4.545454545
28003	Alcorn	Mississippi	US	7/8/2020 5:33	34.88084463	-88.57996173	74	2	0	72	"Alcorn, Mississippi, US"	200.2543772	2.702702703
17003	Alexander	Illinois	US	7/8/2020 5:33	37.18049267	-89.32910838	22	0	0	22	"Alexander, Illinois, US"	381.8781462	0
37003	Alexander	North Carolina	US	7/8/2020 5:33	35.9223796	-81.17751948	134	1	0	133	"Alexander, North Carolina, US"	357.3619223	0.746268657
51510	Alexandria	Virginia	US	7/8/2020 5:33	38.814003	-77.08183073	2399	57	0	2342	"Alexandria, Virginia, US"	1504.754497	2.375989996
40003	Alfalfa	Oklahoma	US	7/8/2020 5:33	36.73090616	-98.32408495	1	0	0	1	"Alfalfa, Oklahoma, US"	17.53770607	0
26003	Alger	Michigan	US	7/8/2020 5:33	46.41292944	-86.60260122	4	0	0	4	"Alger, Michigan, US"	43.91743522	0
19005	Allamakee	Iowa	US	7/8/2020 5:33	43.28383218	-91.37860922	133	4	0	129	"Allamakee, Iowa, US"	971.7249945	3.007518797
26005	Allegan	Michigan	US	7/8/2020 5:33	42.59147037	-85.89102866	346	7	0	339	"Allegan, Michigan, US"	293.0191987	2.023121387
24001	Allegany	Maryland	US	7/8/2020 5:33	39.62357628	-78.69280486	210	18	0	192	"Allegany, Maryland, US"	298.2276755	8.571428571
36003	Allegany	New York	US	7/8/2020 5:33	42.25748406	-78.02750466	63	1	0	62	"Allegany, New York, US"	136.6861209	1.587301587
37005	Alleghany	North Carolina	US	7/8/2020 5:33	36.49360862	-81.12857041	37	0	0	37	"Alleghany, North Carolina, US"	332.2259136	0
51005	Alleghany	Virginia	US	7/8/2020 5:33	37.78636074	-80.00222498	38	2	0	36	"Alleghany, Virginia, US"	255.7200538	5.263157895
42003	Allegheny	Pennsylvania	US	7/8/2020 5:33	40.46809875	-79.98167747	3979	190	0	3789	"Allegheny, Pennsylvania, US"	327.2082859	4.775069113
18003	Allen	Indiana	US	7/8/2020 5:33	41.09194313	-85.06800636	2815	132	0	2683	"Allen, Indiana, US"	742.1585609	4.689165187
20001	Allen	Kansas	US	7/8/2020 5:33	37.88582951	-95.30030847	5	0	0	5	"Allen, Kansas, US"	40.42363974	0
21003	Allen	Kentucky	US	7/8/2020 5:33	36.75197631	-86.19457544	180	7	0	173	"Allen, Kentucky, US"	844.4757213	3.888888889
22003	Allen	Louisiana	US	7/8/2020 5:33	30.65385745	-92.82442028	368	11	0	357	"Allen, Louisiana, US"	1435.985484	2.989130435
39003	Allen	Ohio	US	7/8/2020 5:33	40.77285242	-84.10802343	323	41	0	282	"Allen, Ohio, US"	315.5806978	12.69349845
45005	Allendale	South Carolina	US	7/8/2020 5:33	32.98837386	-81.35321066	64	3	0	61	"Allendale, South Carolina, US"	736.6482505	4.6875
26007	Alpena	Michigan	US	7/8/2020 5:33	45.03477666	-83.62212411	123	11	0	112	"Alpena, Michigan, US"	433.0223552	8.943089431
6003	Alpine	California	US	7/8/2020 5:33	38.59678594	-119.8223594	2	0	0	2	"Alpine, California, US"	177.1479185	0
6005	Amador	California	US	7/8/2020 5:33	38.44583082	-120.65696	34	0	0	34	"Amador, California, US"	85.53028778	0
51007	Amelia	Virginia	US	7/8/2020 5:33	37.34081025	-77.98584649	46	1	0	45	"Amelia, Virginia, US"	349.9429441	2.173913043
51009	Amherst	Virginia	US	7/8/2020 5:33	37.60308293	-79.14548696	38	0	0	38	"Amherst, Virginia, US"	120.2341402	0
